Title,Date,Location,Department,Views,Amount(INR)
The Rugged Camos & Bermuda Breeze Boat Shoes at Froats.com,13-06-19,"Adoni,AndhraPradesh",Others,2413,1200
Bribe demanded to get certificate,12-06-19,"Thiruvallur,TamilNadu",Certificates,1869,50000
Bribe for change in name in Noida authority,12-06-19,"Noida,UttarPradesh",Building Construction Approval,3662,200000
Buy Super Soft & Soft Leather Boat Shoes at Froats.com,12-06-19,"NewDelhi,Delhi",Others,1546,1200
Babu ask me bribe for legal work,12-06-19,"Lucknow,UttarPradesh",Others,2962,2000
Verification officer asked for bribe,12-06-19,"Kolkata,WestBengal",Issue and Renewal of Passport,2539,3500
Hoverboard Segway/Swegway Backpack Bag UK,12-06-19,"Adoni,AndhraPradesh",Assessment,3688,12000
Team Associated RC10 GT & RC10 GT2 Supercharger at RBinnovations.com,12-06-19,"Adoni,AndhraPradesh",Others,1999,1200
Post didn't deliver,11-06-19,"Noida,UttarPradesh",Post and Parcel,2314,100
Tt taking bribe 50 rs from each passenger and nearly 200 customer he has taken bribe infront of me,11-06-19,"Gaya,Bihar",Ticket and Seat Related,2211,50
Blueberry Pomegranate Cali Pods at Calivapepods.com,11-06-19,"Adra,WestBengal",Others,1954,1200
Ar 10 carbine buffer spring length,11-06-19,"Adityapur,Jharkhand",Others,1844,1200
Aluminum/Stainless Steel and Faux Leather Cigarette Case-Assorted Colors For Sale,11-06-19,"Adityapur,Jharkhand",Others,1845,1200
Taken for employment,11-06-19,"Bankura,WestBengal",Others,1491,1100000
Parking fine.,10-06-19,"Nashik,Maharashtra","Traffic Fines, Penalties, Rules",2692,300
Bribe sought by local patwari,10-06-19,"Bhiwani,Haryana",Caste Certificate,3199,1000
PCC clearance,09-06-19,"Pimpri-Chinchwad,Maharashtra",Autorickshaws,3065,400
Meter seal,09-06-19,"NewDelhi,Delhi",Change of Tariff in Domestic to Commercial,3709,1000
Corruption and behavior again defence person,09-06-19,"Pratapgarh,Tripura",Autorickshaws,2468,500
Regarding bribe and corrupted policemen dial 100,09-06-19,"Noida,UttarPradesh","Traffic Fines, Penalties, Rules",2426,210
HUDA and Gurgaon mcd is most corrupt,08-06-19,"Gurgaon,Haryana",Land Registration,2178,15000
Bribe for better marks in college practicals,08-06-19,"Lucknow,UttarPradesh",School or College Related,2660,25000
I paid bribe for getting job in RRB,07-06-19,"Gulbarga,Karnataka",Railway Services,2897,200000
Not giving new water connection with taking bribe,06-06-19,"Latur,Maharashtra",Bill Payment,3093,500
Againest flat purchase by ida,06-06-19,"Indore,MadhyaPradesh",,2496,25000
Bribe for doing right,06-06-19,"Bhilai,Chhattisgarh",Building and Housing,2038,2000
Senior Labour Inspector & Conciliation Officer,06-06-19,"Balrampur,UttarPradesh",Employee Grievances,3562,3000
I paid bribe for Passport verification,05-06-19,"Chennai,TamilNadu",Police Verification for Passport,3058,100
Revolution - The Great American Electric Cigarette Rolling Machine,05-06-19,"Adilabad,Telangana",Others,2564,1200
Cali Pods Pink Lemonade Compatible with JUUL at Calivapepods.com,04-06-19,"AmbedkarNagar,UttarPradesh",Others,1638,12000
Paid for getting EC changed after Loan closure,04-06-19,"Bangalore,Karnataka",Certificates,1628,425
"Hoverboards Warranty, Electric Scooters Warranty, Electric Skateboards Warranty at Smartboardsuk.com",04-06-19,"Adari,UttarPradesh",Others,2151,1200
Nitrous System Spare Parts at RBinnovations.com,04-06-19,"Adilabad,Telangana",Service Tax,1773,1000
My aunt giving bribe for his job in SBI clerk position,04-06-19,"Pune,Maharashtra",Loan Sanctioning,4467,500000
AR15 Complete Carbine Stock Lower Parts Kit or LPK â AR15handguard.com,03-06-19,"Adityapur,Jharkhand",Others,1938,2000
Talathi demand 17000 bribe for registered partition deed,02-06-19,"Ahmadnagar,Maharashtra",Land Registration,1961,6000
Procedure to Submit an Application for Driving Licence Online:,02-06-19,"Mumbai,Maharashtra",Driving and Transport Business,2565,500
Procedure to Submit an Application for Driving Licence Online,02-06-19,"NewDelhi,Delhi",Driving Licenses and Tests,1658,500
"Paid Bribe to ITO Ward 2(3), Kota - Murari Lal Meena",01-06-19,"Kota,Rajasthan",Filing Tax Returns,4034,125000
Bribe paid for lost phone.,01-06-19,"Bangalore,Karnataka",Autorickshaws,2631,10000
Money asked for processing,01-06-19,"Salem,TamilNadu",Certificates,2385,100
Corrupt pramod,31-05-19,"Jodhpur,Rajasthan",Filing Tax Returns,3993,200000
Bribe asked in labour office,31-05-19,"Davanagere,Karnataka",Registrations and Licenses,2702,6000
Tnpds officer asking money to do duty,31-05-19,"Chennai,TamilNadu",Policies and Procedures,2453,1000
Extra document,31-05-19,"Pune,Maharashtra",Policies and Procedures,2720,1000
ROC KOLKATA,30-05-19,"Kolkata,WestBengal",Contract Work,3051,35000
No parking fake fine,30-05-19,"Kalyan,Maharashtra","Traffic Fines, Penalties, Rules",1673,300
Bank mistake neft transfer another a/c,30-05-19,"Azamgarh,UttarPradesh",Loan Sanctioning,3340,91000
Asked for bribe besides having records maintained,29-05-19,"Chennai,TamilNadu",Employee State Insurance,2266,40000
Foreigner,29-05-19,"Lucknow,UttarPradesh",Autorickshaws,3079,250
"Delicious Pods, Salt Nicotine and Juul Compatible Pods",28-05-19,"Adari,UttarPradesh",Others,2181,1200
Bribe was included as a standard fee,28-05-19,"Sirsi,UttarPradesh",Marriage Certificate and Registration,1959,200
Classic Hoverboard Swegway Red,28-05-19,"Adityapur,Jharkhand",Others,2576,1200
Pull Start Filter System 5B/T â Rbinnovations.com,28-05-19,"Adari,UttarPradesh",Others,1891,1200
Fees for getting marriage certificate,27-05-19,"Gooty,AndhraPradesh",Marriage Certificate and Registration,1017,2500
Slim AR15 MLOK Handguard One Piece Free Float,27-05-19,"Adoni,AndhraPradesh",Others,2365,1200
Natural Glass Tumblers from Oaxaca (Medium) â Hardworkingproducts.com,27-05-19,"NewDelhi,Delhi",Others,1647,12000
Bribe Paid to BBMP for Getting Occupancy Certificate in Bangalore,27-05-19,"Bangalore,Karnataka",Building Construction Approval,3561,20000
The amount was taken and they was a scheme where govt. Job was promised against the money.,26-05-19,"Lucknow,UttarPradesh",Government Personnel,2697,600000
Bribe for cylinder delivery,26-05-19,"Allahabad,UttarPradesh",LPG Gas Cylinder,2423,50
Threatened to take the money,26-05-19,"Hyderabad,Telangana","Fines, Penalties and Rules",2241,360
RTA Corruption,26-05-19,"Hyderabad,Telangana",Number Plates and Vehicle Registration,2214,2500
Changing the name in rtc,25-05-19,"Bangalore,Karnataka",Migration Certificate,3255,40000
Towed vehicle under false pretence,24-05-19,"Bangalore,Karnataka",Driving and Transport Business,1763,600
"Cali Pods Distributors â Sea Pods, Plus Pods - Eon Smoke & Eon Pods",24-05-19,"Adoni,AndhraPradesh",Others,2153,1200
"Cali Disposables Pods, Disposable Vape & Disposable E-Cigarettes at Calivapepods.com",24-05-19,"NewDelhi,Delhi",Others,1759,1200
Cali Vape Pods âGet Juul Compatible Pods at Calivapepods.com,24-05-19,"NewDelhi,Delhi",Others,2064,2000
Bribe to give car paper and driving licence back,24-05-19,"Ahmedabad,Gujarat","Traffic Fines, Penalties, Rules",3185,500
Paid bribe for passport verification,23-05-19,"Bangalore,Karnataka",Autorickshaws,2547,500
Khata certificate & khata extract,23-05-19,"Bangalore,Karnataka",Certificates,1577,2000
Mere pass es electric scooty h..m use lekr ja rha thha rste me police ne ruka li..helmet lincience k,23-05-19,"NewDelhi,Delhi",Autorickshaws,2867,100
Handcrafted Stemless Wine Glasses from Oaxaca at Hardworkingproducts.com,22-05-19,"Adari,UttarPradesh",Others,1866,1200
Ofna Racing and Parts at RBinnovations.com,22-05-19,"Adityapur,Jharkhand",Others,1905,1200
Just paid 10000 RS to a government employee to correct his own error which he did last month on my w,21-05-19,"NewDelhi,Delhi",Bills and Payment,1609,10000
Mount Rail AR15 Handguard,20-05-19,"NewDelhi,Delhi",Others,1637,2200
Drifting Hoverkart Gokart Attachment Buggy UK,20-05-19,"Adityapur,Jharkhand",Change of Tariff in Domestic to Commercial,3240,2200
Drive with other state vehicle,20-05-19,"Mumbai,Maharashtra",Registrations and Licenses,2450,500
Prabandhak of school is demanding bribe under of donation to college,18-05-19,"Ghazipur,UttarPradesh",School or College Related,1910,20000
ADJUDICATION FEES,18-05-19,"Mumbai,Maharashtra",Encumbrance Certificate,4058,2185000
Asking for bribe for Khata Transfer,18-05-19,"Bangalore,Karnataka",Khata,1745,5000
"Mr Pathan, traffic Cop extracted 4000/- from me.",18-05-19,"Pune,Maharashtra","Traffic Fines, Penalties, Rules",2369,4000
I paid a bribe after the completion of  the driving tests.....,17-05-19,"Adilabad,Telangana",Driving Licenses and Tests,2000,600
To get NOC from town corporation,17-05-19,"Mysore,Karnataka",Others,3484,1000
Introduction To Traxxas Nitro Cars and Trucks,17-05-19,"Adari,UttarPradesh",Bills and Payment,1899,200
Health and Fire License,15-05-19,"Mumbai,Maharashtra",Registrations and Licenses,2367,300000
Marriage registrar office at Ghaziabad openly takes bribe of 300 from everyone.,15-05-19,"Ghaziabad,UttarPradesh",Certificates,2913,300
N. A. Land mutation documents,15-05-19,"Gulbarga,Karnataka",Building Construction Approval,3215,5500
Police acting as rowdies,14-05-19,"Krishnagiri,TamilNadu","Traffic Fines, Penalties, Rules",1902,100
Cyclone Cold Air Intake System â Rbinnovations.com,14-05-19,"Adityapur,Jharkhand",Others,1936,5500
Bribe to process khata,14-05-19,"Bangalore,Karnataka",Building and Housing,1653,140000
Transcript certification,13-05-19,"Hyderabad,Telangana",College Leaving Certificate,2917,1000
Milspec Barrel Nut w/Steel Jam Nut Ring for AR15 Free Float Handguard 223/556 â AR15handguard.com,13-05-19,"Adilabad,Telangana",Others,1895,500
Marriage certificate related,13-05-19,"Katni,MadhyaPradesh",Certificates,1482,100000
Buy Handcrafted Mexican Glass and Hand Blown Large Tumbler Glasses at Hardworkingproducts.com,13-05-19,"Adityapur,Jharkhand",Others,1725,3000
Replacement Velcro Straps for Hoverkart / Hovercart at Smartboardsuk.com,13-05-19,"Adoni,AndhraPradesh",Others,1803,2200
Trade License Officer at KMC ( Kolkata Munical Corporation ) at Gariahat Office,12-05-19,"Kolkata,WestBengal",Registrations and Licenses,2540,2000
Paid Rs 100 to Chowki Police today,11-05-19,"Bangalore,Karnataka",Verification and Certificates,1685,100
There is a patwari in our vilage taking bribe,09-05-19,"Bulandshahr,UttarPradesh",Land Related,2057,32000
I forced to paid bribe for building approval,09-05-19,"Kanchipuram,TamilNadu",Aadhaar Card Process,3996,15000
Redcat Shockwave Supercharger & Parts at RBinnovations.com,08-05-19,"Balaghat,MadhyaPradesh",Others,1120,2200
Registration bribe,08-05-19,"Bangalore,Karnataka",Property Registration,1864,200
UTTAR PRADESH KISAN SARVHIT BIMA YOJNA,07-05-19,"Etawah,UttarPradesh",Health Insurance,1946,100000
Bribe on every visit at agriculture department,07-05-19,"Yamunanagar,Haryana",Government Personnel,2011,20000
Mid Length AR15 Handguard Two Piece Quad Rail,07-05-19,"Adari,UttarPradesh",Others,2755,5500
I was forced to give bribe,07-05-19,"Bangalore,Karnataka",Certificates,2180,1000
Handcrafted or Handmade Drinking Glasses (Medium) at Hardworkingproducts.com,07-05-19,"Adityapur,Jharkhand",Others,2025,5500
RTO JHULJHULI FITNESS CENTRE,07-05-19,"NewDelhi,Delhi",Vehicle Fitness,2899,4000
Adjustment Slider to Fit - Suspension Hoverkart For Sale UK,07-05-19,"Adityapur,Jharkhand",Others,1914,9866
Pago soborno prueba,07-05-19,"Adari,UttarPradesh",Registrations and Licenses,1890,123
Test report,06-05-19,"Adityapur,Jharkhand",Registrations and Licenses,1877,100
Post man taking bribe,06-05-19,"Chitradurga,Karnataka",Pension Processing,1908,40
For Teacher Job they have asked for Rs.400000/-,06-05-19,"Bellary,Karnataka",College Leaving Certificate,2733,400000
I have been asked to pay unreasonable amount of money âbribeâ in Aabkari Lucknow,06-05-19,"Lucknow,UttarPradesh",Excise,2725,10000
RTO corruption,04-05-19,"Bangalore,Karnataka",Entry Tax,6201,3000
Rs. 700 was asked to make a medical certificate,04-05-19,"Ranchi,Jharkhand",Health Services,2812,700
Aadhar card ke liye extra,04-05-19,"Deoria,UttarPradesh",Others,2890,90
Bribe for police verification,02-05-19,"Guntur,AndhraPradesh",Certificates,1828,1500
Paid bribe at RTO Hardoi,01-05-19,"Hardoi,UttarPradesh",Driving Licenses and Tests,1240,1500
I paid 1000 rs in turns get only 162 rs reciept of indian govt.,01-05-19,"Surat,Gujarat",Traveling without Ticket,4206,800
Modified Cooling Clutch Plate for TR/OBR Sealed Billet Clutch Housing at RBinnovations.com,01-05-19,"Adilabad,Telangana",Others,2050,2562
Police officer pretending to arrest me,30-04-19,"Pune,Maharashtra",FIR and Complaints,2587,10000
Officer was not proceed the documents without giving bribe,30-04-19,"Yavatmal,Maharashtra",Property Registration,2177,1500
They put the land document  in pending  after regarding on 8 march2019,30-04-19,"Chennai,TamilNadu",Property Registration,2449,60000
AR-15 Combo Armorer's Wrench Tool -AR15 223 5.526 at AR15handguard.com,30-04-19,"Jaggaiahpet,AndhraPradesh",Others,965,25899
Handcrafted/Handmade Drinking Glasses at Hardworkingproducts.com,30-04-19,"Achhnera,UttarPradesh",Others,2092,2505
Hoverkarts UK â Best Hoverkarts For Sale UK â Smartboardsuk.com,30-04-19,"Adilabad,Telangana",Others,2510,2205
Intentionally  delaying  procedures  so that he can get money,30-04-19,"Bangalore,Karnataka",Employee State Insurance,1643,500
Police Harassment and Abuse and Bribe,28-04-19,"Coimbatore,TamilNadu","Traffic Fines, Penalties, Rules",3135,1500
Police Harassment,28-04-19,"Coimbatore,TamilNadu",FIR and Complaints,3085,1500
Birth Certificate Address Correction,25-04-19,"Noida,UttarPradesh",Health and Family,2946,220
Corruption,24-04-19,"Bangalore,Karnataka",Entry Tax,4397,500
Buy Redcat Shockwave Superchargers & Upgrades at RBinnovations.com,24-04-19,"Adilabad,Telangana",Others,2381,1200
Charging Handle Latch Mil Spec T6 6061 Aircraft Aluminum AR15 223 5.56 at AR15handguard.com,23-04-19,"Adityapur,Jharkhand",Others,2217,200
Beautiful Hand Crafted Stemless Wine Glasses at Hardworkingproducts.com,23-04-19,"Achhnera,UttarPradesh",Others,2193,2200
Collected bribe in the name of fund,23-04-19,"Vellore,TamilNadu",Driving Licenses and Tests,2686,100
Hoverboard Segway/Swegway Replacement Parts UK â Smartboardsuk.com,23-04-19,"Adari,UttarPradesh",Others,2160,2200
Paid bribe of Rs.32000/- to register a sale deed,22-04-19,"Bangalore,Karnataka",Property Registration,1908,42000
Bribe for pan card dispatch,22-04-19,"Muzaffarpur,Bihar",Post and Parcel,2353,300
ASKING FOR MONEY WHILE PASSPORT VERIFICATION,21-04-19,"Tuticorin,TamilNadu",Police Verification for Passport,3330,300
Bribe for issue of Domicile Certificate,20-04-19,"Bangalore,Karnataka",Domicile and Residence,1686,1000
I paid to get complaint letter signed for lost marks card,19-04-19,"Tumkur,Karnataka",Lodging Police Complaint,3591,140
Paid Rs.1000 to agent for Driving License Extract,19-04-19,"Chennai,TamilNadu",Services,6061,1000
"New 6.5"" Plastic Toolbox Style Hoverboard Carry Case UK â Smartboardsuk.com",18-04-19,"Adari,UttarPradesh",Others,2211,2200
Powermatic 3 or Powermatic III Cigarette Machine For Sale,18-04-19,"Achhnera,UttarPradesh",Others,2516,2200
AR15 Rear Charging Stripped M4 Flat Top Upper Receiver (U.S MADE) at AR15handguard.com,16-04-19,"Abhayapuri,Assam",Others,3188,2200
Buy Best Nitrous Injection Tube at RBinnovations.com,16-04-19,"Adoni,AndhraPradesh",Others,2311,2500
Bribe for court seal in order- 150 for one seal in paper,16-04-19,"Chennai,TamilNadu",Services,2759,150
Handcrafted Stemless Wine Glasses,15-04-19,"NewDelhi,Delhi",Others,1932,2200
Jagnathpur police station at Ranchi Jharkhand is asking for bribe for passport police verification,15-04-19,"Ranchi,Jharkhand",Police Clearance Certificate,4502,10000
Officers take a lot of bribe,12-04-19,"Bathinda,Punjab",Services,1449,100000
"Royal Mint Coupon Code, Promo Code, Cash Back or Discount Code & Deals 2019",12-04-19,"Adari,UttarPradesh",Others,2330,2500
"Peggybuy Coupon Code, Promo Code, Cash Back or Discount Code & Deals 2019",12-04-19,"Agartala,Tripura",Others,1901,2500
Bribe for Property Registration,12-04-19,"Harda,MadhyaPradesh",Property Registration,1258,14700
RB Innovations,12-04-19,"Adari,UttarPradesh",Others,2473,2200
Bribe Complaint,12-04-19,"Bellary,Karnataka",Certificates,2670,300000
Informed wrong fine for transoarent  tinted window glasses,12-04-19,"Thane,Maharashtra","Traffic Fines, Penalties, Rules",5189,3000
Person taking bribe,12-04-19,"Bellary,Karnataka",Certificates,2866,300000
Forcely taken money,12-04-19,"Kalyan,Maharashtra",Policies and Procedures,1998,500
I was asked for bribe,11-04-19,"Gurgaon,Haryana",Building and Housing,2658,500000
BRIBE PAID TO BBMP ENGINEER,11-04-19,"Bangalore,Karnataka",Building and Housing,1865,25000
Bribe for not doing my work,09-04-19,"Muktsar,Punjab",Number Plates and Vehicle Registration,2451,1500
Hand Blown Stemless Wine Glasses For Sale at Hardworkingproducts.com,09-04-19,"Adilabad,Telangana",Others,2293,2200
Supercharger Spare and Upgrade Parts,09-04-19,"Adari,UttarPradesh",Loan Sanctioning,3555,2222
Brife for  passing the bill,08-04-19,"Peravurani,TamilNadu",Others,2454,1000
"AR15 10"" Ultra-Light Super Slim MLok Handguard Free Float Raw Handguard",08-04-19,"NewDelhi,Delhi",Others,2130,22000
Hoverboard Segway/Swegway Repair Services UK at Smartboardsuk.com,08-04-19,"Achhnera,UttarPradesh",Others,2397,2600
Bribe expected at Subramanya Nagar Police station,07-04-19,"Bangalore,Karnataka",Issue and Renewal of Passport,2703,1000
Bribe expected for getting background verification done during passport renewal.,07-04-19,"Bangalore,Karnataka",Issue and Renewal of Passport,1792,1000
Bribe for Gift deed,07-04-19,"Gulbarga,Karnataka",Property Registration,2863,15000
Bribe for Passport verification,07-04-19,"Gulbarga,Karnataka",,2561,600
AEE/JEE Taken Rs 5000 for burnt Transformer Replacemet,06-04-19,"Bokaro,Jharkhand",Transformers,2390,5000
Paid Rs 9000 to LEO DK Mishra,06-04-19,"Bokaro,Jharkhand",Policies and Procedures,2258,9000
SANJAY MURLIDHAR JOSHI JE nasik,06-04-19,"Nashik,Maharashtra",Traveling without Ticket,4476,20000
"Passport verification, additional documents or bribe",06-04-19,"Pune,Maharashtra",Verification and Certificates,5736,1000
Bribe for E-Swathu (Electronic khata) at Kolar CMC,04-04-19,"Kolar,Karnataka",Khata,2577,57000
DGFT RC ISSUANCE BRIBE INR 1500 PER RC.,04-04-19,"Kolkata,WestBengal",Importer Exporter Code,3095,1500
AR15handguard,04-04-19,"Adilabad,Telangana",Others,2575,2200
Police verification officials charging money,04-04-19,"Thiruvallur,TamilNadu",Policies and Procedures,2025,500
"JCPenney Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",03-04-19,"Achhnera,UttarPradesh",Others,2143,250000
"Mobile Advance Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",03-04-19,"NewDelhi,Delhi",Others,2044,25000
Moisture Meter For Tobacco or Wood at Hardworkingproducts.com,03-04-19,"Abohar,Punjab",Others,3057,2200
Paid for not showing pollution certificate for two wheeler,03-04-19,"Raipur,Chhattisgarh","Traffic Fines, Penalties, Rules",2914,100
HPI Hellfire Supercharger at RBinnovations.com,03-04-19,"NewDelhi,Delhi",Others,1748,2896
I was carrying one baby pegion with me,02-04-19,"Ludhiana,Punjab",Transport of Luggage and Goods,2670,400
Paid bride in sub-registrar office brigade road to get GPA done,01-04-19,"Bangalore,Karnataka",Certificates,1834,500
"One Travel Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",01-04-19,"Abohar,Punjab",Others,2896,1500
"The SSL Store Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",01-04-19,"Achhnera,UttarPradesh",Others,2168,2230
"Microsoft Bing Ads Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",01-04-19,"NewDelhi,Delhi",Others,1861,25000
AR15 Forward Assist Assembly Kit & Ejection Dust Port Door,01-04-19,"Belgaum,Karnataka",Others,3236,25000
Dscsdcvfdfd,01-04-19,"Abhayapuri,Assam",Loan Sanctioning,3612,23424
Hoverboard Segway Swegway Replacement Parts UK at Smartboardsuk.com,01-04-19,"NewDelhi,Delhi",Others,1931,200
Bribe paid for police verification,31-03-19,"Vadodara,Gujarat",Certificates,2386,200
KPWD office KR circle- Manjunath,30-03-19,"Bangalore,Karnataka",Policies and Procedures,1987,50000
Jawahar navodaya vidyalay me ghoos lekar paper leak,30-03-19,"Gonda,UttarPradesh",Others,2792,10000
Paid for completing the process.,30-03-19,"Kashipur,Uttarakhand",Pension Processing,1174,1000
He asked me bribe  but I refused to pay which amount he asks,30-03-19,"Hyderabad,Telangana",Professional Tax,2523,3000
Taking bribe to repair the electricity line by the linemen with the support of senier officer,29-03-19,"Faridabad,Haryana",Services,2490,500
For delivering passport every time they demand money,28-03-19,"Amritsar,Punjab",Money Order,3373,50
"Shopify Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",28-03-19,"NewDelhi,Delhi",Others,1907,3000
"Semrush Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",28-03-19,"NewDelhi,Delhi",Others,2034,200
Bribe for finding stolen jewels,28-03-19,"Nagapattinam,TamilNadu",FIR and Complaints,2007,2500
Buy High Standard AR15 Detachable Carry Handle at AR15handguard.com,28-03-19,"NewDelhi,Delhi",Others,1722,2596
Bribe for finding stolen jewels,28-03-19,"Nagapattinam,TamilNadu",FIR and Complaints,1863,2500
Bribe for DTCP Approval,28-03-19,"Coimbatore,TamilNadu",Registrations and Licenses,3071,1000
Bribe for LPC,28-03-19,"Gaya,Bihar",Certificates,2624,100
Bribe for LIU verification,27-03-19,"Modinagar,UttarPradesh",Policies and Procedures,858,500
Koramangala Police took Bribe,27-03-19,"Bangalore,Karnataka",FIR and Complaints,1754,2000
"Boldcommerce Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",27-03-19,"Adari,UttarPradesh",Others,1970,2596
"Bluehost Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",27-03-19,"NewDelhi,Delhi",Others,1658,2500
"Amazon Coupon Code, Promo Code, Discount Code, Cashback and Deals 2019",27-03-19,"NewDelhi,Delhi",Others,1551,2000
Shri RK DEVKAR AND N.B RAJPUT,27-03-19,"Mumbai,Maharashtra",Property Registration,2543,5000
I was asked to pay for Fire NOC for a Marriage Hall,27-03-19,"Thoothukudi,TamilNadu",,1265,20000
Corrupt branch manager,26-03-19,"Bangalore,Karnataka",Loans,1702,50000
Paid Bribe and very disappointed,26-03-19,"Pune,Maharashtra",Entry Tax,3812,100
Female cop bhoir taken bribe of 800 from me,26-03-19,"Ulhasnagar,Maharashtra","Traffic Fines, Penalties, Rules",1249,800
I was asked for a bribe to register my property.,26-03-19,"Bangalore,Karnataka",Property Registration,1583,3000
Mini RootGuard Heavy Duty Gopher Wire Baskets â Hardworkingproducts.com,26-03-19,"Adari,UttarPradesh",Certificates,1783,39000
"HPI RS4-3, Firestorm Super Nitro RS4 Supercharger at RBinnovations.com",26-03-19,"Achhnera,UttarPradesh",Customs Check and Clearance,1948,2900
Overspending challan,25-03-19,"Sonipat,Haryana",FIR and Complaints,1706,1000
Demand of a bribe by a police constable,25-03-19,"Ghazipur,UttarPradesh",Autorickshaws,3053,5000
"Refurbished 6.5â³ Blue Swirl Design Hoverboard, Bag & Bluetooth Deal UK",25-03-19,"Abohar,Punjab",Business Visa,3294,2200
Mental harrassment for bribe and gifts,24-03-19,"Nagpur,Maharashtra",,2382,15000
BANK MANAGER asking give me extra money for sanction any loan,24-03-19,"Ponnur,AndhraPradesh",Loans,981,10000
I was cornered to pay 1000 even after I accepted to pay proper fine,24-03-19,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1594,1000
Cfvcdxffdcfrdxdfc,23-03-19,"Abhayapuri,Assam",College Leaving Certificate,3591,10
Charging higher than MRP,22-03-19,"Karur,TamilNadu",Fire License,4521,5
Traffic police asked me to pay 2000 as bribe for letting me go with my bike,22-03-19,"Pune,Maharashtra",Number Plates and Vehicle Registration,2760,2000
For marriage certificate,21-03-19,"Bangalore,Karnataka",Certificates,1783,100
Market valution fixde to IGR Office,21-03-19,"Bangalore,Karnataka",Encumbrance Certificate,4666,50000
Police verification,20-03-19,"Bangalore,Karnataka",Verification and Certificates,1670,500
To get conduct certificate,20-03-19,"Kadapa,AndhraPradesh",FIR and Complaints,2410,500
Supercharger - RC Crawler,20-03-19,"Adari,UttarPradesh",Loan Sanctioning,3574,2369
AR15 LPK and AR15 Lower Part Kit at AR15handguard.com,19-03-19,"Adari,UttarPradesh",Sales Tax,1976,2200
Buy 8178 Black - Cigarette Case - Plastic Flip Top - BLACK - King Size,19-03-19,"Achhnera,UttarPradesh",Visa,2206,2200
Buy Best Hoverboard Silicone Case UK at Smartboardsuk.com,19-03-19,"Adari,UttarPradesh",VAT,1946,2259
Regarding release of my stolen vehicle from the police station where it was found,17-03-19,"Etawah,UttarPradesh",Verification and Certificates,1989,1500
Bribe in the name of Handling charges at JP Nagar Registrar office,17-03-19,"Bangalore,Karnataka",Property Registration,1799,13000
Voter registeration,17-03-19,"Ranchi,Jharkhand",Voter Registration,3514,50
Marriage certificate,17-03-19,"Mangalore,Karnataka",Aadhaar Card Process,4599,500
Illegal temporary sewage connection,16-03-19,"Chennai,TamilNadu",Building and Housing,2726,50000
Bribe to avoid installing a transformer,16-03-19,"Chennai,TamilNadu",Transformers,2644,200000
Plan approval in Chennai,16-03-19,"Chennai,TamilNadu",Building and Housing,2831,200000
I paid 200 INR for Police Verification for passport,16-03-19,"Nashik,Maharashtra",Verification and Certificates,2932,200
Bribe report,15-03-19,"Tiruchirapalli,Kerala",Marriage Certificate and Registration,2241,100
Passport verification,15-03-19,"Bangalore,Karnataka",Police Verification for Passport,3023,500
"Shantipath u.s embassy chowk,werw there on dutt by 10",14-03-19,"NewDelhi,Delhi","Traffic Fines, Penalties, Rules",1958,1500
"Cyclone ""S"" Series Cold Air Intake System at RBinnovations.com",14-03-19,"Achhnera,UttarPradesh",Service Tax,2206,289
Bribe for water connection,13-03-19,"Coimbatore,TamilNadu",Building and Housing,2811,40000
House tax bribe,13-03-19,"Coimbatore,TamilNadu",Tax,2653,20009
AR15 Buffer Tube â AR Buffer Tube â A2 Buffer Tube,13-03-19,"Achhnera,UttarPradesh",Certificates,2173,2896
Stainless Steel & Faux Leather Cigarette Pocket Case â Hardworkingproducts.com,13-03-19,"Achhnera,UttarPradesh",Customs Check and Clearance,2164,2236
Police asked bribe for verifing passport documents.,13-03-19,"Chennai,TamilNadu",Verification and Certificates,2481,200
Refurbished Hoverboard Segway/Swegway For Sale UK â Smartboardsuk.com,13-03-19,"Achhnera,UttarPradesh",Loans,2093,2230
Bribe by police,12-03-19,"Chennai,TamilNadu",FIR and Complaints,2448,1500
For signing amount to pass the bill for the salary of the primary teacher,12-03-19,"Mainpuri,UttarPradesh",College Leaving Certificate,2856,5000
Bribe paid at Hosur Sub Registrar Office for Property Registration,12-03-19,"Dharmapuri,TamilNadu",Registration of Property,5066,25000
BRIBE TAKEN BY TRAFFIC  HAWALDAR GULSHER TADVI AT TEEN HAAATH NAKA THANE,12-03-19,"Thane,Maharashtra",Entry Tax,3828,5000
They asked me 10000 k for carrying weed,10-03-19,"Ghaziabad,UttarPradesh",,3452,1300
Bribe for police verification for passport,09-03-19,"Vadodara,Gujarat",Verification and Certificates,2488,150
TUCS TRIPLICANE,09-03-19,"Chennai,TamilNadu",Others,4152,20000
Government Bus conductor and driver's corruption,08-03-19,"Eluru,AndhraPradesh",Public Transport,1948,65
