Title,Date,Location,Department,Views,Amount(INR)
Forced to pay 100 rupees bribe for LL test,13-10-20,"Bangalore,Karnataka",Driving Licenses and Tests,1044,100
Misusing of power and traping people in false case to make money,13-10-20,"Siwan,Bihar",FIR and Complaints,1068,15000
Traping of small business man by misusing rules and policies.,13-10-20,"Siwan,Bihar",Policies and Procedures,1016,15000
Bribe paid to VAO for patta transfer,10-10-20,"Coimbatore,TamilNadu",Others,1129,5000
Police officer asked bribe to clear passport verification,10-10-20,"Bangalore,Karnataka",Police Clearance Certificate,1920,500
Driving license issuance process is a joke,09-10-20,"Hyderabad,Telangana",Driving Licenses and Tests,1077,2500
Trader license,06-10-20,"Mysore,Karnataka",Registrations and Licenses,1426,4000
Fed up of giving bribe,06-10-20,"Jhansi,UttarPradesh",Service Tax,1714,50000
Officer Asking Additional 2500 rs. for the property tax registration,06-10-20,"BiharSharif,Bihar",Building and Housing,463,2500
Asked bribe threatening about pollution certificate,06-10-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1446,500
Bribery for asking a report,05-10-20,"Thane,Maharashtra",Autorickshaws,2006,50000
I paid 500rs bribe for passport police verification,02-10-20,"NewDelhi,Delhi",,1451,500
ACCT LVO 060,01-10-20,"Bangalore,Karnataka",Sales Tax,1281,50000
"Excise dept at Anmod Ghat,  Belgaum",27-09-20,"Belgaum,Karnataka",Excise,1630,4000
I am an advocate one widow lady namely Reema came at my office and told that my husband has committe,27-09-20,"NewDelhi,Delhi",Policies and Procedures,1508,1000
For clearing papers in survey for SRA,25-09-20,"Mumbai,Maharashtra",,1760,500000
Paid bribe at Sub-Registrar office Raisinghnagar,25-09-20,"Ganganagar,Rajasthan",Property Registration,1071,18000
Constant Flow of Bribe,25-09-20,"Sirsa,Haryana",Building and Housing,814,15000
To encash cheque/KYC,23-09-20,"Supaul,Bihar",Loan Sanctioning,1591,500
Labour inspector asked to pay bribe of rs.6000 for Shop & establishment act licence.,23-09-20,"SASNagar,Punjab",Registrations and Licenses,1185,6000
"Peshkar corrupt, inhuman,deshdrohi, samaz ke lie  khatra",23-09-20,"Ghaziabad,UttarPradesh",Court Related,6005,1000
I paid bribe to police who came for passport verification,18-09-20,"Bareilly,UttarPradesh",Verification and Certificates,1317,500
VEHICLE HAS TAKEN UNDER THEIR CUSTODY,16-09-20,"Ulhasnagar,Maharashtra","Traffic Fines, Penalties, Rules",1046,200
For drug license,15-09-20,"Garhwa,Jharkhand",Drugs License,1060,40000
Peshkar fraud,10-09-20,"Ghaziabad,UttarPradesh",Court Related,1687,1000
"Hello, I have a question? How can I get your advice and valuable…",10-09-20,"Abhayapuri,Assam",Others,1500,100
Police constable threatened  me to detain my bike.,09-09-20,"Ahmedabad,Gujarat","Traffic Fines, Penalties, Rules",1661,100
For FRRO Approval 10000/-,08-09-20,"Noida,UttarPradesh",Visa,1288,10000
Jagadish Panchayat clerk took bribe from me to katha,07-09-20,"Bangalore,Karnataka",Others,1378,40000
I paid bride in the sub Register office,07-09-20,"Bangalore,Karnataka",Property Registration,1279,20000
Passport Police Verification,06-09-20,"Bangalore,Karnataka",Verification and Certificates,1727,500
Bribe for katha,05-09-20,"Ramnagar,Bihar",Khata,923,10000
Bribe taken by traffic polive,04-09-20,"Howrah,WestBengal",Driving Licenses and Tests,1134,2000
CDSCO FOR DIAGNOSTIC KIT APPROVAL,01-09-20,"Ambala,Haryana",Drugs License,1096,200000
DISTRICT DRUG INSPECTOR NEEDS ANNUAL RENEWAL FEES,01-09-20,"Ambala,Haryana",Drugs License,1082,100000
Quarantine issues at the airport,30-08-20,"NewDelhi,Delhi",Visa,1521,5000
Paid a bribe for obtaining my original marksheets and certificate,29-08-20,"Patna,Bihar",College Leaving Certificate,2304,300
Bribe for Inter state travel during Corona time at border check post,29-08-20,"Bangalore,Karnataka",Tax and Permits,1272,1000
Bc ne paise le liye,27-08-20,"Hyderabad,Telangana",Autorickshaws,2208,500
I was asked to pay something,27-08-20,"Hyderabad,Telangana","Births, Family and Care",1812,200
Fake document keeper shashibala,21-08-20,"Ghaziabad,UttarPradesh",Court Related,1650,300
Asking bribe for gun lisence renewal.,20-08-20,"Gaya,Bihar",Certificates,1462,5000
Bribe from the aggrieved,18-08-20,"Bangalore,Karnataka",Policies and Procedures,1666,500000
Income Certificate,18-08-20,"NaviMumbai,Maharashtra",Caste Certificate,2283,1000
Complaint against drugging and corruption in court by staff under officers,16-08-20,"Kurukshetra,Haryana",Dates for Hearing,1782,10000
Forged documents registered,11-08-20,"Bangalore,Karnataka",Registrations and Licenses,1672,20000
Balaji Medows/SVS Home City beside BSF SST School - Land purchase Scam,08-08-20,"Bangalore,Karnataka",Caste Certificate,2402,200000
Are You in Desperate in need of money ?,08-08-20,"Tiruppur,TamilNadu",College Leaving Certificate,2010,222000
Asked for 50000 for selection in gds abpm,06-08-20,"Bahraich,UttarPradesh",Policies and Procedures,1485,50000
No parking zone fine,04-08-20,"Bangalore,Karnataka","Traffic Fines, Penalties, Rules",1538,500
Forged bylaws documents,03-08-20,"Bangalore,Karnataka",Aadhaar Card Process,2550,10000
Digital Media Doesnât Work Well With Your Bathroom Magazine Rack,01-08-20,"Adra,WestBengal",Others,1128,1200
"Serial Killers, What is Americaâs Perverse Fascination With Them?",01-08-20,"NewDelhi,Delhi",Others,1648,1200
Bribe by authorities upto state minister,30-07-20,"Madurai,TamilNadu",Building Construction Approval,1621,200000
Silencer Air+ Wireless Follow Focus at 24shots.com,29-07-20,"Adari,UttarPradesh",Others,1593,1200
"Losing Weight. If it Was Easy, Everyone Would be Doing It.",28-07-20,"NewDelhi,Delhi",Others,1629,1200
"What do Anthony Bourdain, Chris Farley and Michael Jackson, Have in Common?",28-07-20,"Nellikuppam,TamilNadu",Others,825,1200
Enroll for a new Aadhaar,27-07-20,"Gurgaon,Haryana",Others,1254,100
For Police Clearance Certificate,25-07-20,"Mumbai,Maharashtra",Autorickshaws,2353,2000
"Kalyan Malang road flat registration, every one has to pay 35000 to 65000 bribe",24-07-20,"Thane,Maharashtra",Building and Housing,1549,35000
Safety Plug Hug - A Cord Saver at Hardworkingproducts.com,21-07-20,"Adoni,AndhraPradesh",Others,1370,1200
"OMG, I Take so Many Pills, Even Elvis Presley Would be Impressed! Read onâ¦",21-07-20,"Adoni,AndhraPradesh",Others,1281,1200
Why May 25th Is the Most Important Day of the Year?,21-07-20,"Adilabad,Telangana",Others,1228,1200
Bribe against signature,18-07-20,"Jaipur,Rajasthan",Others,1388,10000
Land sale,14-07-20,"Mumbai,Maharashtra",Income Tax,2261,50000
Land sale,14-07-20,"Mumbai,Maharashtra",Income Tax,2289,50000
Corruption going on from 4year,12-07-20,"Mumbai,Maharashtra",Allotment of subsidized housing,2198,400000
Traffic senior officials are corrupt and creating life threatening situations in duty sessions,06-07-20,"Ranchi,Jharkhand","Traffic Fines, Penalties, Rules",1501,4000
Had a self accident. No third party was injured. Had to pay 10K to allow police to let me go.,02-07-20,"Margao,Goa","Traffic Fines, Penalties, Rules",951,10000
Bakishpatra-vina mobdala,29-06-20,"Hingoli,Maharashtra",Property Registration,940,20000
Corruption in purchase of medicine and surgical items,24-06-20,"Patna,Bihar",Traveling without Ticket,2065,100000
Corrupt management ( bribe from all the employees  every month ),22-06-20,"Jabalpur,MadhyaPradesh",Excess Baggage,1512,1500
"Paid  a bribe of Rs. 25000 to then vice-chancellor, TNJFU for completion of M.F.Sc.",18-06-20,"Ponneri,TamilNadu",Certificates,947,25000
Police asked bribe,14-06-20,"Bangalore,Karnataka",Traffic Violations,2585,580
Asking for bribe each time,02-06-20,"Bangalore,Karnataka",Bill Payment,1931,100
